time,value,sensor_id
2024-11-07 15:03:21.120426+00:00,160.8,power
2024-11-07 15:03:21.168242+00:00,160.8,power
2024-11-07 15:03:21.212691+00:00,160.8,power
2024-11-07 15:03:21.255596+00:00,160.4,power
2024-11-07 15:03:21.297566+00:00,160.4,power
2024-11-07 15:03:21.339508+00:00,160.4,power
2024-11-07 15:03:21.382185+00:00,160.4,power
2024-11-07 15:03:21.424680+00:00,160.4,power
2024-11-07 15:03:21.467671+00:00,160.4,power
2024-11-07 15:03:21.510314+00:00,160.4,power
2024-11-07 15:03:21.552136+00:00,156.0,power
2024-11-07 15:03:21.596837+00:00,156.0,power
2024-11-07 15:03:21.638671+00:00,156.0,power
2024-11-07 15:03:21.681667+00:00,156.0,power
2024-11-07 15:03:21.725381+00:00,156.0,power
2024-11-07 15:03:21.767631+00:00,151.2,power
2024-11-07 15:03:21.810091+00:00,151.2,power
2024-11-07 15:03:21.854666+00:00,151.2,power
2024-11-07 15:03:21.900947+00:00,151.2,power
2024-11-07 15:03:21.953098+00:00,151.2,power
2024-11-07 15:03:22.000506+00:00,151.2,power
2024-11-07 15:03:22.001483+00:00,64.0,ef_speed
2024-11-07 15:03:22.049133+00:00,64.0,sf_speed
2024-11-07 15:03:22.048302+00:00,161.2,power
2024-11-07 15:03:22.096783+00:00,161.2,power
2024-11-07 15:03:22.141077+00:00,161.2,power
2024-11-07 15:03:22.185279+00:00,161.2,power
2024-11-07 15:03:22.227728+00:00,161.2,power
2024-11-07 15:03:22.271243+00:00,158.9,power
2024-11-07 15:03:22.314892+00:00,158.9,power
2024-11-07 15:03:22.360147+00:00,158.9,power
2024-11-07 15:03:22.405423+00:00,158.9,power
2024-11-07 15:03:22.448239+00:00,158.9,power
2024-11-07 15:03:22.493109+00:00,158.9,power
2024-11-07 15:03:22.535778+00:00,158.9,power
2024-11-07 15:03:22.580719+00:00,152.2,power
2024-11-07 15:03:22.602318+00:00,65.0,ef_speed
2024-11-07 15:03:22.624436+00:00,152.2,power
2024-11-07 15:03:22.656184+00:00,65.0,sf_speed
2024-11-07 15:03:22.669614+00:00,152.2,power
2024-11-07 15:03:22.703518+00:00,64.0,ef_speed
2024-11-07 15:03:22.717338+00:00,152.2,power
2024-11-07 15:03:22.749492+00:00,64.0,sf_speed
2024-11-07 15:03:22.763684+00:00,155.3,power
2024-11-07 15:03:22.804111+00:00,65.0,ef_speed
2024-11-07 15:03:22.809560+00:00,155.3,power
2024-11-07 15:03:22.847503+00:00,65.0,sf_speed
2024-11-07 15:03:22.860875+00:00,155.3,power
2024-11-07 15:03:22.904281+00:00,64.0,ef_speed
2024-11-07 15:03:22.904875+00:00,155.3,power
2024-11-07 15:03:22.949383+00:00,64.0,sf_speed
2024-11-07 15:03:22.963485+00:00,155.3,power
2024-11-07 15:03:23.007983+00:00,155.3,power
2024-11-07 15:03:23.052697+00:00,155.3,power
2024-11-07 15:03:23.095084+00:00,157.9,power
2024-11-07 15:03:23.141243+00:00,157.9,power
2024-11-07 15:03:23.184372+00:00,157.9,power
2024-11-07 15:03:23.228147+00:00,157.9,power
2024-11-07 15:03:23.273314+00:00,159.0,power
2024-11-07 15:03:23.303419+00:00,65.0,ef_speed
2024-11-07 15:03:23.316781+00:00,159.0,power
2024-11-07 15:03:23.351509+00:00,65.0,sf_speed
2024-11-07 15:03:23.361700+00:00,159.0,power
2024-11-07 15:03:23.408159+00:00,159.0,power
2024-11-07 15:03:23.451247+00:00,159.0,power
2024-11-07 15:03:23.496047+00:00,159.0,power
2024-11-07 15:03:23.539314+00:00,159.0,power
2024-11-07 15:03:23.584190+00:00,154.7,power
2024-11-07 15:03:23.627623+00:00,154.7,power
2024-11-07 15:03:23.671605+00:00,154.7,power
2024-11-07 15:03:23.718154+00:00,154.7,power
2024-11-07 15:03:23.759907+00:00,162.4,power
2024-11-07 15:03:23.804059+00:00,64.0,ef_speed
2024-11-07 15:03:23.804655+00:00,162.4,power
2024-11-07 15:03:23.850015+00:00,64.0,sf_speed
2024-11-07 15:03:23.855862+00:00,162.4,power
2024-11-07 15:03:23.904542+00:00,65.0,ef_speed
2024-11-07 15:03:23.905753+00:00,162.4,power
2024-11-07 15:03:23.951953+00:00,162.4,power
2024-11-07 15:03:23.951056+00:00,65.0,sf_speed
2024-11-07 15:03:23.998658+00:00,162.4,power
2024-11-07 15:03:24.046836+00:00,162.4,power
2024-11-07 15:03:24.089215+00:00,158.2,power
2024-11-07 15:03:24.132629+00:00,158.2,power
2024-11-07 15:03:24.177587+00:00,158.2,power
2024-11-07 15:03:24.220409+00:00,158.2,power
2024-11-07 15:03:24.263922+00:00,158.2,power
2024-11-07 15:03:24.307373+00:00,156.7,power
2024-11-07 15:03:24.349894+00:00,156.7,power
2024-11-07 15:03:24.393670+00:00,156.7,power
2024-11-07 15:03:24.437402+00:00,156.7,power
2024-11-07 15:03:24.480053+00:00,156.7,power
2024-11-07 15:03:24.523726+00:00,156.7,power
2024-11-07 15:03:24.566092+00:00,154.8,power
2024-11-07 15:03:24.610349+00:00,154.8,power
2024-11-07 15:03:24.656163+00:00,154.8,power
2024-11-07 15:03:24.699131+00:00,154.8,power
2024-11-07 15:03:24.745755+00:00,154.8,power
2024-11-07 15:03:24.792488+00:00,157.4,power
2024-11-07 15:03:24.836596+00:00,157.4,power
2024-11-07 15:03:24.882126+00:00,157.4,power
2024-11-07 15:03:24.924935+00:00,157.4,power
2024-11-07 15:03:24.971590+00:00,157.4,power
2024-11-07 15:03:25.015412+00:00,157.4,power
2024-11-07 15:03:25.061730+00:00,157.4,power
2024-11-07 15:03:25.105138+00:00,168.5,power
2024-11-07 15:03:25.151192+00:00,168.5,power
2024-11-07 15:03:25.194793+00:00,168.5,power
2024-11-07 15:03:25.241162+00:00,168.5,power
2024-11-07 15:03:25.289093+00:00,164.9,power
2024-11-07 15:03:25.333557+00:00,164.9,power
2024-11-07 15:03:25.378594+00:00,164.9,power
2024-11-07 15:03:25.407429+00:00,66.0,ef_speed
2024-11-07 15:03:25.425505+00:00,164.9,power
2024-11-07 15:03:25.454471+00:00,66.0,sf_speed
2024-11-07 15:03:25.472506+00:00,164.9,power
2024-11-07 15:03:25.520198+00:00,164.9,power
2024-11-07 15:03:25.565884+00:00,164.9,power
2024-11-07 15:03:25.609072+00:00,157.6,power
2024-11-07 15:03:25.654453+00:00,157.6,power
2024-11-07 15:03:25.697389+00:00,157.6,power
2024-11-07 15:03:25.742198+00:00,157.6,power
2024-11-07 15:03:25.784767+00:00,163.2,power
2024-11-07 15:03:25.827512+00:00,163.2,power
2024-11-07 15:03:25.871200+00:00,163.2,power
2024-11-07 15:03:25.913954+00:00,163.2,power
2024-11-07 15:03:25.958837+00:00,163.2,power
2024-11-07 15:03:26.001706+00:00,163.2,power
2024-11-07 15:03:26.047119+00:00,163.2,power
2024-11-07 15:03:26.090251+00:00,158.2,power
2024-11-07 15:03:26.133666+00:00,158.2,power
2024-11-07 15:03:26.175710+00:00,158.2,power
2024-11-07 15:03:26.217879+00:00,158.2,power
2024-11-07 15:03:26.260962+00:00,157.9,power
2024-11-07 15:03:26.325205+00:00,157.9,power
2024-11-07 15:03:26.369613+00:00,157.9,power
2024-11-07 15:03:26.410019+00:00,67.0,ef_speed
2024-11-07 15:03:26.413869+00:00,157.9,power
2024-11-07 15:03:26.459452+00:00,67.0,sf_speed
2024-11-07 15:03:26.459838+00:00,157.9,power
2024-11-07 15:03:26.511809+00:00,157.9,power
2024-11-07 15:03:26.510178+00:00,66.0,ef_speed
2024-11-07 15:03:26.555814+00:00,157.9,power
2024-11-07 15:03:26.564008+00:00,66.0,sf_speed
2024-11-07 15:03:26.599850+00:00,158.4,power
2024-11-07 15:03:26.613306+00:00,67.0,ef_speed
2024-11-07 15:03:26.647533+00:00,158.4,power
2024-11-07 15:03:26.659590+00:00,67.0,sf_speed
2024-11-07 15:03:26.693034+00:00,158.4,power
2024-11-07 15:03:26.738651+00:00,158.4,power
2024-11-07 15:03:26.781024+00:00,165.2,power
2024-11-07 15:03:26.824167+00:00,165.2,power
2024-11-07 15:03:26.866514+00:00,165.2,power
2024-11-07 15:03:26.908733+00:00,165.2,power
2024-11-07 15:03:26.951128+00:00,165.2,power
2024-11-07 15:03:26.993080+00:00,165.2,power
2024-11-07 15:03:27.037927+00:00,165.2,power
2024-11-07 15:03:27.081328+00:00,160.5,power
2024-11-07 15:03:27.123265+00:00,160.5,power
2024-11-07 15:03:27.165496+00:00,160.5,power
2024-11-07 15:03:27.207638+00:00,160.5,power
2024-11-07 15:03:27.251438+00:00,160.5,power
2024-11-07 15:03:27.297540+00:00,158.1,power
2024-11-07 15:03:27.340874+00:00,158.1,power
2024-11-07 15:03:27.383739+00:00,158.1,power
2024-11-07 15:03:27.546614+00:00,158.1,power
2024-11-07 15:03:27.589474+00:00,158.1,power
2024-11-07 15:03:27.636462+00:00,158.1,power
2024-11-07 15:03:27.679914+00:00,158.1,power
2024-11-07 15:03:27.725330+00:00,153.9,power
