time,value,sensor_id
2024-12-07 12:31:39.772204+00:00,60.0,ef_speed
2024-12-07 12:31:41.316814+00:00,61.0,sf_speed
2024-12-07 12:31:41.816713+00:00,523.4,power
2024-12-07 12:31:42.288658+00:00,683.1,power
2024-12-07 12:31:42.773045+00:00,523.1,power
2024-12-07 12:31:43.128429+00:00,60.0,sf_speed
2024-12-07 12:31:43.590607+00:00,675.4,power
2024-12-07 12:31:43.937167+00:00,59.0,sf_speed
2024-12-07 12:31:44.314285+00:00,815.0,power
2024-12-07 12:31:44.691186+00:00,58.0,ef_speed
2024-12-07 12:31:45.056838+00:00,742.7,power
2024-12-07 12:31:45.393426+00:00,699.7,power
2024-12-07 12:31:45.870791+00:00,775.9,power
2024-12-07 12:31:46.345222+00:00,790.8,power
2024-12-07 12:31:46.699106+00:00,751.1,power
2024-12-07 12:31:47.069902+00:00,787.4,power
2024-12-07 12:31:47.509469+00:00,774.8,power
2024-12-07 12:31:47.799857+00:00,772.8,power
2024-12-07 12:31:48.282832+00:00,775.2,power
2024-12-07 12:31:48.998068+00:00,55.0,ef_speed
2024-12-07 12:31:50.447860+00:00,52.0,sf_speed
2024-12-07 12:31:51.601757+00:00,52.0,ef_speed
2024-12-07 12:31:52.845815+00:00,49.0,sf_speed
2024-12-07 12:31:54.507023+00:00,47.0,ef_speed
2024-12-07 12:31:55.483579+00:00,45.0,sf_speed
2024-12-07 12:31:57.211443+00:00,43.0,ef_speed
2024-12-07 12:31:57.700478+00:00,726.6,power
2024-12-07 12:31:58.101122+00:00,764.3,power
2024-12-07 12:31:58.413521+00:00,41.0,ef_speed
2024-12-07 12:31:58.762695+00:00,42.0,sf_speed
2024-12-07 12:31:59.084536+00:00,552.0,power
2024-12-07 12:31:59.496261+00:00,672.3,power
2024-12-07 12:31:59.891703+00:00,630.3,power
2024-12-07 12:32:00.300948+00:00,602.0,power
2024-12-07 12:32:00.753801+00:00,618.9,power
2024-12-07 12:32:01.221154+00:00,39.0,ef_speed
2024-12-07 12:32:01.564461+00:00,586.6,power
2024-12-07 12:32:01.879855+00:00,278.8,power
2024-12-07 12:32:02.206083+00:00,510.9,power
2024-12-07 12:32:02.531345+00:00,37.0,ef_speed
2024-12-07 12:32:02.872122+00:00,36.0,sf_speed
2024-12-07 12:32:03.184929+00:00,347.4,power
2024-12-07 12:32:03.671899+00:00,409.5,power
2024-12-07 12:32:04.152629+00:00,395.9,power
2024-12-07 12:32:04.735441+00:00,41.0,ef_speed
2024-12-07 12:32:06.172329+00:00,40.0,sf_speed
2024-12-07 12:32:07.040980+00:00,44.0,ef_speed
2024-12-07 12:32:08.277629+00:00,49.0,sf_speed
2024-12-07 12:32:11.059807+00:00,53.0,ef_speed
2024-12-07 12:32:13.253783+00:00,38.3,power
2024-12-07 12:32:13.668936+00:00,302.6,power
2024-12-07 12:32:14.147488+00:00,328.0,power
2024-12-07 12:32:14.627666+00:00,158.2,power
2024-12-07 12:32:15.026500+00:00,278.8,power
2024-12-07 12:32:15.505351+00:00,286.5,power
2024-12-07 12:32:15.913295+00:00,267.5,power
2024-12-07 12:32:16.316550+00:00,240.1,power
2024-12-07 12:32:16.752260+00:00,203.1,power
2024-12-07 12:32:17.248483+00:00,701.5,power
2024-12-07 12:32:17.730428+00:00,247.6,power
2024-12-07 12:32:18.131045+00:00,561.7,power
2024-12-07 12:32:18.606853+00:00,659.6,power
2024-12-07 12:32:19.081802+00:00,408.8,power
2024-12-07 12:32:19.407750+00:00,596.2,power
2024-12-07 12:32:19.730380+00:00,478.6,power
2024-12-07 12:32:20.059039+00:00,601.7,power
2024-12-07 12:32:23.610710+00:00,53.0,sf_speed
2024-12-07 12:32:26.176340+00:00,51.0,ef_speed
2024-12-07 12:32:26.716109+00:00,52.0,sf_speed
2024-12-07 12:32:28.877549+00:00,50.0,ef_speed
2024-12-07 12:32:29.265595+00:00,580.6,power
2024-12-07 12:32:29.659829+00:00,881.0,power
2024-12-07 12:32:30.060135+00:00,603.6,power
2024-12-07 12:32:30.465949+00:00,589.1,power
2024-12-07 12:32:30.791656+00:00,677.2,power
2024-12-07 12:32:31.184791+00:00,42.0,ef_speed
2024-12-07 12:32:31.463351+00:00,42.0,sf_speed
2024-12-07 12:32:31.758844+00:00,504.7,power
2024-12-07 12:32:32.034810+00:00,39.0,sf_speed
2024-12-07 12:32:32.410165+00:00,647.5,power
2024-12-07 12:32:32.745148+00:00,614.3,power
2024-12-07 12:32:33.221704+00:00,611.9,power
2024-12-07 12:32:33.693091+00:00,418.5,power
2024-12-07 12:32:34.164613+00:00,568.1,power
2024-12-07 12:32:34.642124+00:00,534.6,power
2024-12-07 12:32:35.143777+00:00,453.5,power
2024-12-07 12:32:35.641992+00:00,406.6,power
2024-12-07 12:32:44.782525+00:00,485.1,power
2024-12-07 12:32:45.263355+00:00,463.3,power
2024-12-07 12:32:45.738943+00:00,378.2,power
2024-12-07 12:32:46.216713+00:00,133.6,power
2024-12-07 12:32:46.691327+00:00,316.0,power
2024-12-07 12:32:47.164741+00:00,249.5,power
2024-12-07 12:32:47.638454+00:00,172.4,power
2024-12-07 12:32:48.115680+00:00,222.4,power
2024-12-07 12:32:48.596105+00:00,220.7,power
2024-12-07 12:32:49.089575+00:00,213.2,power
2024-12-07 12:32:49.589402+00:00,218.3,power
2024-12-07 12:32:50.079173+00:00,226.7,power
2024-12-07 12:32:50.555676+00:00,210.2,power
2024-12-07 12:32:51.035818+00:00,220.1,power
2024-12-07 12:32:51.514004+00:00,214.0,power
2024-12-07 12:32:56.271462+00:00,42.0,ef_speed
2024-12-07 12:32:57.179769+00:00,48.0,sf_speed
2024-12-07 12:32:59.241352+00:00,53.0,ef_speed
2024-12-07 12:33:00.558339+00:00,214.0,power
2024-12-07 12:33:00.971875+00:00,209.4,power
2024-12-07 12:33:01.450646+00:00,217.1,power
2024-12-07 12:33:01.931701+00:00,220.9,power
2024-12-07 12:33:02.409774+00:00,211.8,power
2024-12-07 12:33:02.889204+00:00,221.5,power
2024-12-07 12:33:03.364162+00:00,221.0,power
2024-12-07 12:33:03.835928+00:00,214.7,power
2024-12-07 12:33:04.319877+00:00,216.6,power
2024-12-07 12:33:04.720684+00:00,217.2,power
2024-12-07 12:33:05.118427+00:00,208.6,power
2024-12-07 12:33:05.438265+00:00,210.8,power
2024-12-07 12:33:05.914089+00:00,232.8,power
2024-12-07 12:33:06.235652+00:00,587.9,power
2024-12-07 12:33:06.721972+00:00,695.4,power
2024-12-07 12:33:07.207799+00:00,727.5,power
2024-12-07 12:33:11.811885+00:00,55.0,sf_speed
2024-12-07 12:33:15.676302+00:00,53.0,ef_speed
2024-12-07 12:33:16.540179+00:00,606.3,power
2024-12-07 12:33:16.945941+00:00,567.3,power
2024-12-07 12:33:17.343146+00:00,613.1,power
2024-12-07 12:33:17.823637+00:00,610.2,power
2024-12-07 12:33:18.230392+00:00,617.2,power
2024-12-07 12:33:18.638766+00:00,612.7,power
2024-12-07 12:33:19.044944+00:00,624.7,power
2024-12-07 12:33:19.329383+00:00,52.0,sf_speed
2024-12-07 12:33:19.783613+00:00,563.1,power
2024-12-07 12:33:20.219783+00:00,557.3,power
2024-12-07 12:33:20.614566+00:00,683.6,power
2024-12-07 12:33:21.048057+00:00,585.3,power
2024-12-07 12:33:21.403575+00:00,582.0,power
2024-12-07 12:33:21.677984+00:00,581.0,power
2024-12-07 12:33:22.125212+00:00,578.5,power
2024-12-07 12:33:22.527180+00:00,583.4,power
2024-12-07 12:33:22.928573+00:00,590.5,power
2024-12-07 12:33:23.204967+00:00,582.9,power
2024-12-07 12:33:25.949882+00:00,48.0,sf_speed
2024-12-07 12:33:28.953741+00:00,49.0,sf_speed
2024-12-07 12:33:30.056643+00:00,50.0,sf_speed
2024-12-07 12:33:32.182824+00:00,582.9,power
2024-12-07 12:33:32.618298+00:00,560.3,power
2024-12-07 12:33:32.975356+00:00,563.7,power
2024-12-07 12:33:33.339767+00:00,532.3,power
2024-12-07 12:33:33.721889+00:00,50.0,ef_speed
2024-12-07 12:31:39.814086+00:00,60.0,sf_speed
2024-12-07 12:31:41.375072+00:00,60.0,ef_speed
2024-12-07 12:31:41.859352+00:00,523.4,power
2024-12-07 12:31:42.331431+00:00,683.1,power
2024-12-07 12:31:42.818336+00:00,523.1,power
2024-12-07 12:31:43.140398+00:00,677.8,power
2024-12-07 12:31:43.633702+00:00,675.4,power
2024-12-07 12:31:43.953828+00:00,640.5,power
2024-12-07 12:31:44.356892+00:00,815.0,power
2024-12-07 12:31:44.720601+00:00,668.9,power
2024-12-07 12:31:45.085424+00:00,58.0,ef_speed
2024-12-07 12:31:45.437271+00:00,699.7,power
2024-12-07 12:31:45.915621+00:00,775.9,power
2024-12-07 12:31:46.388049+00:00,790.8,power
2024-12-07 12:31:46.742007+00:00,57.0,sf_speed
2024-12-07 12:31:47.112523+00:00,787.4,power
2024-12-07 12:31:47.540714+00:00,55.0,sf_speed
2024-12-07 12:31:47.842273+00:00,772.8,power
2024-12-07 12:31:48.327129+00:00,775.2,power
2024-12-07 12:31:49.039631+00:00,55.0,sf_speed
2024-12-07 12:31:51.000841+00:00,51.0,ef_speed
2024-12-07 12:31:51.643749+00:00,52.0,sf_speed
2024-12-07 12:31:53.204957+00:00,48.0,ef_speed
2024-12-07 12:31:54.548242+00:00,47.0,sf_speed
2024-12-07 12:31:55.610006+00:00,44.0,ef_speed
2024-12-07 12:31:57.256073+00:00,43.0,sf_speed
2024-12-07 12:31:57.743429+00:00,726.6,power
2024-12-07 12:31:58.113709+00:00,43.0,ef_speed
2024-12-07 12:31:58.427726+00:00,712.0,power
2024-12-07 12:31:58.791778+00:00,746.7,power
2024-12-07 12:31:59.127983+00:00,552.0,power
2024-12-07 12:31:59.540012+00:00,672.3,power
2024-12-07 12:31:59.918825+00:00,41.0,ef_speed
2024-12-07 12:32:00.344180+00:00,602.0,power
2024-12-07 12:32:00.797764+00:00,618.9,power
2024-12-07 12:32:01.229388+00:00,587.2,power
2024-12-07 12:32:01.607517+00:00,586.6,power
2024-12-07 12:32:01.923029+00:00,38.0,ef_speed
2024-12-07 12:32:02.224023+00:00,39.0,ef_speed
2024-12-07 12:32:02.543323+00:00,399.2,power
2024-12-07 12:32:02.906438+00:00,483.6,power
2024-12-07 12:32:03.233879+00:00,347.4,power
2024-12-07 12:32:03.715459+00:00,409.5,power
2024-12-07 12:32:04.196238+00:00,395.9,power
2024-12-07 12:32:04.776274+00:00,41.0,sf_speed
2024-12-07 12:32:06.230799+00:00,41.0,ef_speed
2024-12-07 12:32:07.082145+00:00,44.0,sf_speed
2024-12-07 12:32:08.437515+00:00,48.0,ef_speed
2024-12-07 12:32:11.101276+00:00,53.0,sf_speed
2024-12-07 12:32:13.299205+00:00,38.3,power
2024-12-07 12:32:13.711579+00:00,302.6,power
2024-12-07 12:32:14.190150+00:00,328.0,power
2024-12-07 12:32:14.670126+00:00,265.0,power
2024-12-07 12:32:15.068971+00:00,278.8,power
2024-12-07 12:32:15.549224+00:00,286.5,power
2024-12-07 12:32:15.950171+00:00,56.0,ef_speed
2024-12-07 12:32:16.359841+00:00,240.1,power
2024-12-07 12:32:16.797233+00:00,55.0,sf_speed
2024-12-07 12:32:16.801894+00:00,203.1,power
2024-12-07 12:32:17.292241+00:00,701.5,power
2024-12-07 12:32:17.775750+00:00,247.6,power
2024-12-07 12:32:18.174240+00:00,561.7,power
2024-12-07 12:32:18.650348+00:00,659.6,power
2024-12-07 12:32:19.124145+00:00,427.5,power
2024-12-07 12:32:19.450114+00:00,596.2,power
2024-12-07 12:32:19.764284+00:00,55.0,ef_speed
2024-12-07 12:32:20.101795+00:00,601.7,power
2024-12-07 12:32:23.668906+00:00,54.0,ef_speed
2024-12-07 12:32:26.219201+00:00,51.0,sf_speed
2024-12-07 12:32:26.774658+00:00,51.0,ef_speed
2024-12-07 12:32:28.921608+00:00,50.0,sf_speed
2024-12-07 12:32:29.311557+00:00,580.6,power
2024-12-07 12:32:29.705329+00:00,881.0,power
2024-12-07 12:32:30.104926+00:00,603.6,power
2024-12-07 12:32:30.482853+00:00,45.0,ef_speed
2024-12-07 12:32:30.836538+00:00,677.2,power
2024-12-07 12:32:31.196059+00:00,644.0,power
2024-12-07 12:32:31.475390+00:00,504.7,power
2024-12-07 12:32:31.791852+00:00,41.0,ef_speed
2024-12-07 12:32:32.048920+00:00,586.8,power
2024-12-07 12:32:32.455228+00:00,647.5,power
2024-12-07 12:32:32.787792+00:00,614.3,power
2024-12-07 12:32:33.264663+00:00,611.9,power
2024-12-07 12:32:33.735378+00:00,418.5,power
2024-12-07 12:32:34.207638+00:00,568.1,power
2024-12-07 12:32:34.686392+00:00,534.6,power
2024-12-07 12:32:35.188114+00:00,453.5,power
2024-12-07 12:32:35.687117+00:00,406.6,power
2024-12-07 12:32:44.824895+00:00,485.1,power
2024-12-07 12:32:45.306464+00:00,463.3,power
2024-12-07 12:32:45.782296+00:00,378.2,power
2024-12-07 12:32:46.260408+00:00,133.6,power
2024-12-07 12:32:46.734166+00:00,316.0,power
2024-12-07 12:32:47.208181+00:00,249.5,power
2024-12-07 12:32:47.684977+00:00,172.4,power
2024-12-07 12:32:48.159363+00:00,222.4,power
