time,value,sensor_id
2024-11-06 19:05:28.723014+00:00,37.0,ef_speed
2024-11-06 19:05:29.736145+00:00,38.0,ef_speed
2024-11-06 19:05:30.420450+00:00,41.0,ef_speed
2024-11-06 19:05:30.721033+00:00,41.0,ef_speed
2024-11-06 19:05:31.522371+00:00,42.0,ef_speed
2024-11-06 19:05:31.923196+00:00,41.0,ef_speed
2024-11-06 19:05:32.123823+00:00,42.0,ef_speed
2024-11-06 19:05:32.268243+00:00,207.3,power
2024-11-06 19:05:32.409454+00:00,207.3,power
2024-11-06 19:05:32.588136+00:00,200.4,power
2024-11-06 19:05:32.848374+00:00,212.3,power
2024-11-06 19:05:33.109385+00:00,226.9,power
2024-11-06 19:05:33.289751+00:00,211.3,power
2024-11-06 19:05:33.473979+00:00,211.3,power
2024-11-06 19:05:33.727471+00:00,44.0,ef_speed
2024-11-06 19:05:33.868741+00:00,212.4,power
2024-11-06 19:05:34.095404+00:00,215.9,power
2024-11-06 19:05:34.282915+00:00,42.0,sf_speed
2024-11-06 19:05:34.479375+00:00,43.0,sf_speed
2024-11-06 19:05:34.674576+00:00,44.0,sf_speed
2024-11-06 19:05:34.907199+00:00,209.7,power
2024-11-06 19:05:35.090209+00:00,206.6,power
2024-11-06 19:05:35.280245+00:00,44.0,sf_speed
2024-11-06 19:05:35.531723+00:00,45.0,ef_speed
2024-11-06 19:05:35.717145+00:00,222.9,power
2024-11-06 19:05:35.854492+00:00,210.6,power
2024-11-06 19:05:36.075828+00:00,201.3,power
2024-11-06 19:05:36.268353+00:00,209.0,power
2024-11-06 19:05:36.435595+00:00,44.0,ef_speed
2024-11-06 19:05:36.584420+00:00,45.0,sf_speed
2024-11-06 19:05:36.827627+00:00,202.8,power
2024-11-06 19:05:37.095846+00:00,204.9,power
2024-11-06 19:05:37.347392+00:00,46.0,ef_speed
2024-11-06 19:05:37.540664+00:00,217.5,power
2024-11-06 19:05:37.722273+00:00,195.0,power
2024-11-06 19:05:37.904739+00:00,205.8,power
2024-11-06 19:05:38.168004+00:00,224.3,power
2024-11-06 19:05:38.421845+00:00,276.8,power
2024-11-06 19:05:38.562503+00:00,276.8,power
2024-11-06 19:05:38.779823+00:00,245.7,power
2024-11-06 19:05:39.281358+00:00,44.0,sf_speed
2024-11-06 19:05:40.183596+00:00,43.0,sf_speed
2024-11-06 19:05:40.788371+00:00,42.0,sf_speed
2024-11-06 19:05:41.286346+00:00,43.0,sf_speed
2024-11-06 19:05:41.789225+00:00,42.0,sf_speed
2024-11-06 19:05:42.689615+00:00,41.0,sf_speed
2024-11-06 19:05:43.590331+00:00,40.0,sf_speed
2024-11-06 19:05:44.091388+00:00,39.0,sf_speed
2024-11-06 19:05:44.692229+00:00,37.0,sf_speed
2024-11-06 19:05:44.992265+00:00,38.0,sf_speed
2024-11-06 19:05:45.693159+00:00,37.0,sf_speed
2024-11-06 19:05:46.405363+00:00,38.0,sf_speed
2024-11-06 19:05:47.821700+00:00,245.7,power
2024-11-06 19:05:48.095307+00:00,270.6,power
2024-11-06 19:05:48.357360+00:00,370.4,power
2024-11-06 19:05:48.620435+00:00,530.2,power
2024-11-06 19:05:48.893967+00:00,297.4,power
2024-11-06 19:05:49.156228+00:00,321.1,power
2024-11-06 19:05:49.413539+00:00,326.0,power
2024-11-06 19:05:49.675404+00:00,326.1,power
2024-11-06 19:05:49.936070+00:00,459.1,power
2024-11-06 19:05:50.192874+00:00,366.4,power
2024-11-06 19:05:50.445726+00:00,337.7,power
2024-11-06 19:05:50.700648+00:00,340.7,power
2024-11-06 19:05:50.958752+00:00,356.4,power
2024-11-06 19:05:51.215087+00:00,356.4,power
2024-11-06 19:05:51.471582+00:00,349.2,power
2024-11-06 19:05:51.734251+00:00,183.7,power
2024-11-06 19:05:51.990177+00:00,307.2,power
