time,value,sensor_id
2025-03-24 17:19:23.027128+00:00,1129.1,power
2025-03-24 17:19:23.072619+00:00,1129.1,power
2025-03-24 17:19:23.123940+00:00,1129.1,power
2025-03-24 17:19:23.170354+00:00,1131.9,power
2025-03-24 17:19:23.182606+00:00,64.0,ef_speed
2025-03-24 17:19:23.217672+00:00,1131.9,power
2025-03-24 17:19:23.227005+00:00,64.0,sf_speed
2025-03-24 17:19:23.263317+00:00,1131.9,power
2025-03-24 17:19:23.307828+00:00,1131.9,power
2025-03-24 17:19:23.352598+00:00,1131.9,power
2025-03-24 17:19:23.384104+00:00,63.0,ef_speed
2025-03-24 17:19:23.396312+00:00,1131.9,power
2025-03-24 17:19:23.429663+00:00,63.0,sf_speed
2025-03-24 17:19:23.444000+00:00,1131.9,power
2025-03-24 17:19:23.485022+00:00,64.0,ef_speed
2025-03-24 17:19:23.489188+00:00,1136.4,power
2025-03-24 17:19:23.533310+00:00,64.0,sf_speed
2025-03-24 17:19:23.534355+00:00,1136.4,power
2025-03-24 17:19:23.580472+00:00,1136.4,power
2025-03-24 17:19:23.627633+00:00,1136.4,power
2025-03-24 17:19:23.672282+00:00,1143.5,power
2025-03-24 17:19:23.715297+00:00,1143.5,power
2025-03-24 17:19:23.757290+00:00,1143.5,power
2025-03-24 17:19:23.800267+00:00,1143.5,power
2025-03-24 17:19:23.843693+00:00,1143.5,power
2025-03-24 17:19:23.887123+00:00,1143.5,power
2025-03-24 17:19:23.929097+00:00,1143.5,power
2025-03-24 17:19:23.972852+00:00,1158.0,power
2025-03-24 17:19:24.015153+00:00,1158.0,power
2025-03-24 17:19:24.057756+00:00,1158.0,power
2025-03-24 17:19:24.100078+00:00,1158.0,power
2025-03-24 17:19:24.142361+00:00,1178.4,power
2025-03-24 17:19:24.184655+00:00,1178.4,power
2025-03-24 17:19:24.227177+00:00,1178.4,power
2025-03-24 17:19:24.269426+00:00,1178.4,power
2025-03-24 17:19:24.312753+00:00,1178.4,power
2025-03-24 17:19:24.355278+00:00,1178.4,power
2025-03-24 17:19:24.400284+00:00,1178.4,power
2025-03-24 17:19:24.442771+00:00,1121.0,power
2025-03-24 17:19:24.486883+00:00,1121.0,power
2025-03-24 17:19:24.530213+00:00,1121.0,power
2025-03-24 17:19:24.572821+00:00,1121.0,power
2025-03-24 17:19:24.617193+00:00,1121.0,power
2025-03-24 17:19:24.659390+00:00,1135.2,power
2025-03-24 17:19:24.704824+00:00,1135.2,power
2025-03-24 17:19:24.747071+00:00,1135.2,power
2025-03-24 17:19:24.789485+00:00,1135.2,power
2025-03-24 17:19:24.832246+00:00,1135.2,power
2025-03-24 17:19:24.874855+00:00,1135.2,power
2025-03-24 17:19:24.917519+00:00,1135.2,power
2025-03-24 17:19:24.960028+00:00,1128.5,power
2025-03-24 17:19:25.005428+00:00,1128.5,power
2025-03-24 17:19:25.047440+00:00,1128.5,power
2025-03-24 17:19:25.091187+00:00,1128.5,power
2025-03-24 17:19:25.133585+00:00,1126.6,power
2025-03-24 17:19:25.176129+00:00,1126.6,power
2025-03-24 17:19:25.219244+00:00,1126.6,power
2025-03-24 17:19:25.260922+00:00,1126.6,power
2025-03-24 17:19:25.304443+00:00,1126.6,power
2025-03-24 17:19:25.349562+00:00,1126.6,power
2025-03-24 17:19:25.393327+00:00,1126.6,power
2025-03-24 17:19:25.437760+00:00,1136.4,power
2025-03-24 17:19:25.482029+00:00,1136.4,power
2025-03-24 17:19:25.527470+00:00,1136.4,power
2025-03-24 17:19:25.570719+00:00,1136.4,power
2025-03-24 17:19:25.615854+00:00,1123.9,power
2025-03-24 17:19:25.658863+00:00,1123.9,power
2025-03-24 17:19:25.704147+00:00,1123.9,power
2025-03-24 17:19:25.750734+00:00,1123.9,power
2025-03-24 17:19:25.796004+00:00,1123.9,power
2025-03-24 17:19:25.839108+00:00,1123.9,power
2025-03-24 17:19:25.884166+00:00,1123.9,power
2025-03-24 17:19:25.927554+00:00,1132.1,power
2025-03-24 17:19:25.969451+00:00,1132.1,power
2025-03-24 17:19:26.013548+00:00,1132.1,power
2025-03-24 17:19:26.055902+00:00,1132.1,power
2025-03-24 17:19:26.088702+00:00,65.0,ef_speed
2025-03-24 17:19:26.099665+00:00,1123.5,power
2025-03-24 17:19:26.134668+00:00,65.0,sf_speed
2025-03-24 17:19:26.144734+00:00,1123.5,power
2025-03-24 17:19:26.191596+00:00,1123.5,power
2025-03-24 17:19:26.233890+00:00,1123.5,power
2025-03-24 17:19:26.275858+00:00,1123.5,power
