Unnamed: 0,time,value,sensor_id
0.0,2025-03-11 17:33:48.350964+00:00,917.9,power
1.0,2025-03-11 17:33:48.393032+00:00,917.9,power
2.0,2025-03-11 17:33:48.435814+00:00,916.7,power
3.0,2025-03-11 17:33:48.479302+00:00,916.7,power
4.0,2025-03-11 17:33:48.522681+00:00,916.7,power
5.0,2025-03-11 17:33:48.564381+00:00,916.7,power
6.0,2025-03-11 17:33:48.606147+00:00,916.7,power
7.0,2025-03-11 17:33:48.649919+00:00,916.7,power
8.0,2025-03-11 17:33:48.697862+00:00,916.7,power
9.0,2025-03-11 17:33:48.745411+00:00,920.4,power
10.0,2025-03-11 17:33:48.774044+00:00,64.0,ef_speed
11.0,2025-03-11 17:33:48.792020+00:00,920.4,power
12.0,2025-03-11 17:33:48.820765+00:00,64.0,sf_speed
13.0,2025-03-11 17:33:48.837364+00:00,920.4,power
14.0,2025-03-11 17:33:48.881668+00:00,920.4,power
15.0,2025-03-11 17:33:48.923366+00:00,924.4,power
16.0,2025-03-11 17:33:48.965802+00:00,924.4,power
17.0,2025-03-11 17:33:49.007821+00:00,924.4,power
18.0,2025-03-11 17:33:49.050324+00:00,924.4,power
19.0,2025-03-11 17:33:49.094307+00:00,924.4,power
20.0,2025-03-11 17:33:49.136321+00:00,924.4,power
21.0,2025-03-11 17:33:49.179522+00:00,924.4,power
22.0,2025-03-11 17:33:49.221597+00:00,919.7,power
23.0,2025-03-11 17:33:49.265219+00:00,919.7,power
24.0,2025-03-11 17:33:49.307844+00:00,919.7,power
25.0,2025-03-11 17:33:49.349972+00:00,919.7,power
26.0,2025-03-11 17:33:49.396544+00:00,919.7,power
27.0,2025-03-11 17:33:49.439278+00:00,907.9,power
28.0,2025-03-11 17:33:49.482588+00:00,907.9,power
29.0,2025-03-11 17:33:49.525648+00:00,907.9,power
30.0,2025-03-11 17:33:49.568209+00:00,907.9,power
31.0,2025-03-11 17:33:49.611097+00:00,907.9,power
32.0,2025-03-11 17:33:49.653222+00:00,907.9,power
33.0,2025-03-11 17:33:49.696736+00:00,918.8,power
34.0,2025-03-11 17:33:49.739260+00:00,918.8,power
35.0,2025-03-11 17:33:49.783051+00:00,918.8,power
36.0,2025-03-11 17:33:49.825668+00:00,918.8,power
37.0,2025-03-11 17:33:49.869228+00:00,918.8,power
38.0,2025-03-11 17:33:49.912055+00:00,919.5,power
39.0,2025-03-11 17:33:49.954531+00:00,919.5,power
40.0,2025-03-11 17:33:49.997503+00:00,919.5,power
41.0,2025-03-11 17:33:50.040044+00:00,919.5,power
42.0,2025-03-11 17:33:50.082937+00:00,919.5,power
43.0,2025-03-11 17:33:50.125512+00:00,919.5,power
44.0,2025-03-11 17:33:50.168418+00:00,919.5,power
45.0,2025-03-11 17:33:50.211150+00:00,913.3,power
46.0,2025-03-11 17:33:50.254250+00:00,913.3,power
47.0,2025-03-11 17:33:50.297270+00:00,913.3,power
48.0,2025-03-11 17:33:50.339787+00:00,913.3,power
49.0,2025-03-11 17:33:50.382864+00:00,913.7,power
50.0,2025-03-11 17:33:50.427003+00:00,913.7,power
51.0,2025-03-11 17:33:50.469772+00:00,913.7,power
52.0,2025-03-11 17:33:50.512465+00:00,913.7,power
53.0,2025-03-11 17:33:50.555137+00:00,913.7,power
54.0,2025-03-11 17:33:50.598259+00:00,913.7,power
55.0,2025-03-11 17:33:50.642387+00:00,913.7,power
56.0,2025-03-11 17:33:50.686364+00:00,921.9,power
57.0,2025-03-11 17:33:50.728758+00:00,921.9,power
58.0,2025-03-11 17:33:50.771230+00:00,921.9,power
59.0,2025-03-11 17:33:50.814607+00:00,921.9,power
60.0,2025-03-11 17:33:50.859616+00:00,921.6,power
61.0,2025-03-11 17:33:50.902648+00:00,921.6,power
62.0,2025-03-11 17:33:50.945796+00:00,921.6,power
63.0,2025-03-11 17:33:50.990246+00:00,921.6,power
64.0,2025-03-11 17:33:51.032651+00:00,921.6,power
65.0,2025-03-11 17:33:51.077769+00:00,921.6,power
66.0,2025-03-11 17:33:51.110840+00:00,65.0,ef_speed
67.0,2025-03-11 17:33:51.125647+00:00,921.6,power
68.0,2025-03-11 17:33:51.157884+00:00,65.0,sf_speed
69.0,2025-03-11 17:33:51.177530+00:00,919.6,power
70.0,2025-03-11 17:33:51.207014+00:00,64.0,ef_speed
71.0,2025-03-11 17:33:51.225396+00:00,919.6,power
72.0,2025-03-11 17:33:51.256861+00:00,64.0,sf_speed
73.0,2025-03-11 17:33:51.271043+00:00,919.6,power
74.0,2025-03-11 17:33:51.304677+00:00,65.0,ef_speed
75.0,2025-03-11 17:33:51.319278+00:00,919.6,power
76.0,2025-03-11 17:33:51.350588+00:00,65.0,sf_speed
77.0,2025-03-11 17:33:51.370112+00:00,919.2,power
78.0,2025-03-11 17:33:51.418049+00:00,919.2,power
79.0,2025-03-11 17:33:51.463254+00:00,919.2,power
80.0,2025-03-11 17:33:51.476061+00:00,64.0,ef_speed
81.0,2025-03-11 17:33:51.508142+00:00,919.2,power
82.0,2025-03-11 17:33:51.523275+00:00,64.0,sf_speed
83.0,2025-03-11 17:33:51.557292+00:00,919.2,power
84.0,2025-03-11 17:33:51.578379+00:00,65.0,ef_speed
85.0,2025-03-11 17:33:51.608634+00:00,919.2,power
86.0,2025-03-11 17:33:51.623203+00:00,65.0,sf_speed
87.0,2025-03-11 17:33:51.655267+00:00,919.2,power
88.0,2025-03-11 17:33:51.699958+00:00,915.7,power
89.0,2025-03-11 17:33:51.744806+00:00,915.7,power
90.0,2025-03-11 17:33:51.787023+00:00,915.7,power
91.0,2025-03-11 17:33:51.831457+00:00,915.7,power
92.0,2025-03-11 17:33:51.877049+00:00,915.7,power
93.0,2025-03-11 17:33:51.919465+00:00,919.2,power
94.0,2025-03-11 17:33:51.961078+00:00,919.2,power
95.0,2025-03-11 17:33:52.003862+00:00,919.2,power
96.0,2025-03-11 17:33:52.046282+00:00,919.2,power
97.0,2025-03-11 17:33:52.088983+00:00,919.2,power
98.0,2025-03-11 17:33:52.134701+00:00,919.2,power
99.0,2025-03-11 17:33:52.177818+00:00,911.3,power
100.0,2025-03-11 17:33:52.220931+00:00,911.3,power
101.0,2025-03-11 17:33:52.263818+00:00,911.3,power
102.0,2025-03-11 17:33:52.306411+00:00,911.3,power
103.0,2025-03-11 17:33:52.349501+00:00,911.3,power
104.0,2025-03-11 17:33:52.392284+00:00,918.4,power
105.0,2025-03-11 17:33:52.435035+00:00,918.4,power
106.0,2025-03-11 17:33:52.477540+00:00,918.4,power
107.0,2025-03-11 17:33:52.520179+00:00,918.4,power
108.0,2025-03-11 17:33:52.563918+00:00,918.4,power
109.0,2025-03-11 17:33:52.609123+00:00,918.4,power
110.0,2025-03-11 17:33:52.650812+00:00,918.4,power
111.0,2025-03-11 17:33:52.695430+00:00,921.6,power
112.0,2025-03-11 17:33:52.737850+00:00,921.6,power
113.0,2025-03-11 17:33:52.782495+00:00,921.6,power
114.0,2025-03-11 17:33:52.824534+00:00,921.6,power
115.0,2025-03-11 17:33:52.869171+00:00,918.8,power
116.0,2025-03-11 17:33:52.911257+00:00,918.8,power
117.0,2025-03-11 17:33:52.955561+00:00,918.8,power
118.0,2025-03-11 17:33:52.979061+00:00,66.0,ef_speed
119.0,2025-03-11 17:33:53.002878+00:00,918.8,power
120.0,2025-03-11 17:33:53.026500+00:00,66.0,sf_speed
121.0,2025-03-11 17:33:53.050249+00:00,918.8,power
122.0,2025-03-11 17:33:53.096338+00:00,918.8,power
123.0,2025-03-11 17:33:53.138747+00:00,918.8,power
124.0,2025-03-11 17:33:53.184365+00:00,925.6,power
125.0,2025-03-11 17:33:53.226715+00:00,925.6,power
126.0,2025-03-11 17:33:53.269794+00:00,925.6,power
127.0,2025-03-11 17:33:53.312602+00:00,925.6,power
128.0,2025-03-11 17:33:53.355830+00:00,920.8,power
129.0,2025-03-11 17:33:53.399104+00:00,920.8,power
130.0,2025-03-11 17:33:53.442602+00:00,920.8,power
131.0,2025-03-11 17:33:53.488132+00:00,920.8,power
132.0,2025-03-11 17:33:53.529997+00:00,920.8,power
133.0,2025-03-11 17:33:53.575020+00:00,920.8,power
134.0,2025-03-11 17:33:53.617677+00:00,920.8,power
135.0,2025-03-11 17:33:53.660455+00:00,910.8,power
136.0,2025-03-11 17:33:53.703423+00:00,910.8,power
137.0,2025-03-11 17:33:53.745779+00:00,910.8,power
138.0,2025-03-11 17:33:53.788425+00:00,910.8,power
139.0,2025-03-11 17:33:53.830687+00:00,910.8,power
140.0,2025-03-11 17:33:53.873515+00:00,916.0,power
141.0,2025-03-11 17:33:53.881620+00:00,67.0,ef_speed
142.0,2025-03-11 17:33:53.917576+00:00,916.0,power
143.0,2025-03-11 17:33:53.926655+00:00,67.0,sf_speed
144.0,2025-03-11 17:33:53.965089+00:00,916.0,power
145.0,2025-03-11 17:33:54.009759+00:00,916.0,power
146.0,2025-03-11 17:33:54.052621+00:00,916.0,power
147.0,2025-03-11 17:33:54.095740+00:00,916.0,power
148.0,2025-03-11 17:33:54.138787+00:00,927.6,power
149.0,2025-03-11 17:33:54.181500+00:00,927.6,power
150.0,2025-03-11 17:33:54.223646+00:00,927.6,power
151.0,2025-03-11 17:33:54.266672+00:00,927.6,power
152.0,2025-03-11 17:33:54.309281+00:00,927.6,power
153.0,2025-03-11 17:33:54.351555+00:00,910.4,power
154.0,2025-03-11 17:33:54.395196+00:00,910.4,power
155.0,2025-03-11 17:33:54.441861+00:00,910.4,power
156.0,2025-03-11 17:33:54.487163+00:00,910.4,power
157.0,2025-03-11 17:33:54.529321+00:00,910.4,power
158.0,2025-03-11 17:33:54.574746+00:00,910.4,power
159.0,2025-03-11 17:33:54.616649+00:00,910.4,power
160.0,2025-03-11 17:33:54.660889+00:00,926.3,power
161.0,2025-03-11 17:33:54.705883+00:00,926.3,power
162.0,2025-03-11 17:33:54.747931+00:00,926.3,power
163.0,2025-03-11 17:33:54.793525+00:00,926.3,power
164.0,2025-03-11 17:33:54.835412+00:00,916.6,power
165.0,2025-03-11 17:33:54.879548+00:00,916.6,power
166.0,2025-03-11 17:33:54.921354+00:00,916.6,power
167.0,2025-03-11 17:33:54.965393+00:00,916.6,power
168.0,2025-03-11 17:33:55.008546+00:00,916.6,power
169.0,2025-03-11 17:33:55.053612+00:00,916.6,power
170.0,2025-03-11 17:33:55.096070+00:00,916.6,power
171.0,2025-03-11 17:33:55.141661+00:00,919.5,power
172.0,2025-03-11 17:33:55.186011+00:00,919.5,power
173.0,2025-03-11 17:33:55.232405+00:00,919.5,power
174.0,2025-03-11 17:33:58.388405+00:00,68.0,ef_speed
175.0,2025-03-11 17:33:58.429500+00:00,68.0,sf_speed
176.0,2025-03-11 17:33:58.489463+00:00,67.0,ef_speed
177.0,2025-03-11 17:33:58.531035+00:00,67.0,sf_speed
178.0,2025-03-11 17:33:58.889451+00:00,68.0,ef_speed
179.0,2025-03-11 17:33:58.930675+00:00,68.0,sf_speed
180.0,2025-03-11 17:33:59.290436+00:00,67.0,ef_speed
181.0,2025-03-11 17:33:59.331369+00:00,67.0,sf_speed
182.0,2025-03-11 17:33:59.390012+00:00,68.0,ef_speed
183.0,2025-03-11 17:33:59.432474+00:00,68.0,sf_speed
184.0,2025-03-11 17:33:59.490514+00:00,67.0,ef_speed
185.0,2025-03-11 17:33:59.532323+00:00,67.0,sf_speed
186.0,2025-03-11 17:34:00.191151+00:00,66.0,ef_speed
187.0,2025-03-11 17:34:00.232327+00:00,66.0,sf_speed
188.0,2025-03-11 17:34:03.697287+00:00,65.0,ef_speed
189.0,2025-03-11 17:34:03.738059+00:00,65.0,sf_speed
190.0,2025-03-11 17:34:03.874137+00:00,919.5,power
191.0,2025-03-11 17:34:03.915685+00:00,922.1,power
192.0,2025-03-11 17:34:03.958122+00:00,922.1,power
193.0,2025-03-11 17:34:04.000509+00:00,922.1,power
194.0,2025-03-11 17:34:04.043196+00:00,922.1,power
195.0,2025-03-11 17:34:04.085450+00:00,922.1,power
196.0,2025-03-11 17:34:04.127929+00:00,922.1,power
197.0,2025-03-11 17:34:04.170934+00:00,922.1,power
198.0,2025-03-11 17:34:04.213477+00:00,913.1,power
199.0,2025-03-11 17:34:04.255363+00:00,913.1,power
200.0,2025-03-11 17:34:04.300159+00:00,913.1,power
201.0,2025-03-11 17:34:04.342240+00:00,913.1,power
202.0,2025-03-11 17:34:04.384941+00:00,929.9,power
203.0,2025-03-11 17:34:04.431572+00:00,929.9,power
204.0,2025-03-11 17:34:04.474236+00:00,929.9,power
205.0,2025-03-11 17:34:04.516615+00:00,929.9,power
206.0,2025-03-11 17:34:04.558887+00:00,929.9,power
207.0,2025-03-11 17:34:04.601187+00:00,929.9,power
208.0,2025-03-11 17:34:04.643788+00:00,929.9,power
209.0,2025-03-11 17:34:04.687741+00:00,916.7,power
210.0,2025-03-11 17:34:04.730589+00:00,916.7,power
211.0,2025-03-11 17:34:04.773298+00:00,916.7,power
212.0,2025-03-11 17:34:04.806423+00:00,64.0,ef_speed
213.0,2025-03-11 17:34:04.817524+00:00,916.7,power
214.0,2025-03-11 17:34:04.851294+00:00,64.0,sf_speed
215.0,2025-03-11 17:34:04.862841+00:00,916.7,power
216.0,2025-03-11 17:34:04.909661+00:00,853.3,power
217.0,2025-03-11 17:34:04.910877+00:00,65.0,ef_speed
218.0,2025-03-11 17:34:04.956389+00:00,853.3,power
219.0,2025-03-11 17:34:04.956977+00:00,65.0,sf_speed
220.0,2025-03-11 17:34:05.002852+00:00,853.3,power
221.0,2025-03-11 17:34:05.049311+00:00,853.3,power
222.0,2025-03-11 17:34:05.094399+00:00,853.3,power
223.0,2025-03-11 17:34:05.141008+00:00,853.3,power
224.0,2025-03-11 17:34:05.187951+00:00,853.3,power
225.0,2025-03-11 17:34:05.232518+00:00,876.5,power
226.0,2025-03-11 17:34:05.278888+00:00,876.5,power
227.0,2025-03-11 17:34:05.323302+00:00,876.5,power
228.0,2025-03-11 17:34:05.368485+00:00,876.5,power
229.0,2025-03-11 17:34:05.416095+00:00,890.4,power
230.0,2025-03-11 17:34:05.461737+00:00,890.4,power
231.0,2025-03-11 17:34:05.504834+00:00,890.4,power
232.0,2025-03-11 17:34:05.550640+00:00,890.4,power
233.0,2025-03-11 17:34:05.593977+00:00,890.4,power
234.0,2025-03-11 17:34:05.640687+00:00,890.4,power
235.0,2025-03-11 17:34:05.688240+00:00,1017.3,power
236.0,2025-03-11 17:34:05.735210+00:00,1017.3,power
237.0,2025-03-11 17:34:05.780888+00:00,1017.3,power
238.0,2025-03-11 17:34:05.824238+00:00,1017.3,power
239.0,2025-03-11 17:34:05.868546+00:00,1017.3,power
240.0,2025-03-11 17:34:05.911837+00:00,919.9,power
241.0,2025-03-11 17:34:05.955182+00:00,919.9,power
242.0,2025-03-11 17:34:05.998585+00:00,919.9,power
243.0,2025-03-11 17:34:06.041713+00:00,919.9,power
244.0,2025-03-11 17:34:06.086080+00:00,919.9,power
245.0,2025-03-11 17:34:06.131413+00:00,919.9,power
246.0,2025-03-11 17:34:06.174375+00:00,919.9,power
247.0,2025-03-11 17:34:06.216798+00:00,927.4,power
248.0,2025-03-11 17:34:06.261610+00:00,927.4,power
249.0,2025-03-11 17:34:06.303922+00:00,927.4,power
250.0,2025-03-11 17:34:06.349193+00:00,927.4,power
251.0,2025-03-11 17:34:06.392293+00:00,934.4,power
252.0,2025-03-11 17:34:06.437691+00:00,934.4,power
253.0,2025-03-11 17:34:06.480943+00:00,934.4,power
254.0,2025-03-11 17:34:06.526110+00:00,934.4,power
255.0,2025-03-11 17:34:06.568362+00:00,934.4,power
256.0,2025-03-11 17:34:06.612962+00:00,934.4,power
257.0,2025-03-11 17:34:06.654800+00:00,934.4,power
258.0,2025-03-11 17:34:06.699280+00:00,924.4,power
259.0,2025-03-11 17:34:06.741775+00:00,924.4,power
260.0,2025-03-11 17:34:06.784786+00:00,924.4,power
261.0,2025-03-11 17:34:06.828930+00:00,924.4,power
262.0,2025-03-11 17:34:06.871604+00:00,1022.5,power
263.0,2025-03-11 17:34:06.914819+00:00,1022.5,power
264.0,2025-03-11 17:34:06.957180+00:00,1022.5,power
265.0,2025-03-11 17:34:06.999848+00:00,1022.5,power
266.0,2025-03-11 17:34:07.044142+00:00,1022.5,power
267.0,2025-03-11 17:34:07.092011+00:00,1022.5,power
268.0,2025-03-11 17:34:07.138014+00:00,1022.5,power
269.0,2025-03-11 17:34:07.181861+00:00,1017.0,power
270.0,2025-03-11 17:34:07.227750+00:00,1017.0,power
271.0,2025-03-11 17:34:07.269824+00:00,1017.0,power
272.0,2025-03-11 17:34:07.314850+00:00,1017.0,power
273.0,2025-03-11 17:34:07.357065+00:00,985.1,power
274.0,2025-03-11 17:34:07.402540+00:00,985.1,power
275.0,2025-03-11 17:34:07.445555+00:00,985.1,power
276.0,2025-03-11 17:34:07.488017+00:00,985.1,power
277.0,2025-03-11 17:34:07.530985+00:00,985.1,power
278.0,2025-03-11 17:34:07.572953+00:00,985.1,power
279.0,2025-03-11 17:34:07.615340+00:00,985.1,power
280.0,2025-03-11 17:34:07.628751+00:00,64.0,ef_speed
281.0,2025-03-11 17:34:07.663501+00:00,998.4,power
282.0,2025-03-11 17:34:07.675822+00:00,64.0,sf_speed
283.0,2025-03-11 17:34:07.709446+00:00,998.4,power
284.0,2025-03-11 17:34:07.755572+00:00,998.4,power
285.0,2025-03-11 17:34:07.800413+00:00,998.4,power
286.0,2025-03-11 17:34:07.844837+00:00,998.4,power
287.0,2025-03-11 17:34:07.886953+00:00,1007.8,power
288.0,2025-03-11 17:34:07.929198+00:00,1007.8,power
289.0,2025-03-11 17:34:07.971675+00:00,1007.8,power
290.0,2025-03-11 17:34:08.014713+00:00,1007.8,power
291.0,2025-03-11 17:34:08.057165+00:00,1007.8,power
292.0,2025-03-11 17:34:08.100419+00:00,1007.8,power
293.0,2025-03-11 17:34:08.143279+00:00,1002.0,power
294.0,2025-03-11 17:34:08.186731+00:00,1002.0,power
295.0,2025-03-11 17:34:08.229053+00:00,1002.0,power
296.0,2025-03-11 17:34:08.271445+00:00,1002.0,power
297.0,2025-03-11 17:34:08.314329+00:00,1002.0,power
298.0,2025-03-11 17:34:08.356909+00:00,1012.1,power
299.0,2025-03-11 17:34:08.399862+00:00,1012.1,power
300.0,2025-03-11 17:34:08.442920+00:00,1012.1,power
301.0,2025-03-11 17:34:08.485996+00:00,1012.1,power
302.0,2025-03-11 17:34:08.517084+00:00,63.0,ef_speed
303.0,2025-03-11 17:34:08.529024+00:00,1012.1,power
304.0,2025-03-11 17:34:08.563392+00:00,63.0,sf_speed
305.0,2025-03-11 17:34:08.578131+00:00,1012.1,power
306.0,2025-03-11 17:34:08.617222+00:00,64.0,ef_speed
307.0,2025-03-11 17:34:08.626460+00:00,1012.1,power
308.0,2025-03-11 17:34:08.661064+00:00,64.0,sf_speed
309.0,2025-03-11 17:34:08.679642+00:00,996.9,power
310.0,2025-03-11 17:34:08.719243+00:00,63.0,ef_speed
311.0,2025-03-11 17:34:08.726795+00:00,996.9,power
312.0,2025-03-11 17:34:08.768806+00:00,63.0,sf_speed
313.0,2025-03-11 17:34:08.772521+00:00,996.9,power
314.0,2025-03-11 17:34:08.822869+00:00,996.9,power
315.0,2025-03-11 17:34:08.867663+00:00,1050.4,power
316.0,2025-03-11 17:34:08.909865+00:00,1050.4,power
317.0,2025-03-11 17:34:08.953275+00:00,1050.4,power
318.0,2025-03-11 17:34:08.995607+00:00,1050.4,power
319.0,2025-03-11 17:34:09.039387+00:00,1050.4,power
320.0,2025-03-11 17:34:09.082874+00:00,1050.4,power
321.0,2025-03-11 17:34:09.127192+00:00,1050.4,power
322.0,2025-03-11 17:34:09.168796+00:00,1028.9,power
323.0,2025-03-11 17:34:09.211142+00:00,1028.9,power
324.0,2025-03-11 17:34:09.256256+00:00,1028.9,power
325.0,2025-03-11 17:34:09.299180+00:00,1028.9,power
326.0,2025-03-11 17:34:09.342877+00:00,1031.7,power
327.0,2025-03-11 17:34:09.385767+00:00,1031.7,power
328.0,2025-03-11 17:34:09.431029+00:00,1031.7,power
329.0,2025-03-11 17:34:09.475297+00:00,1031.7,power
330.0,2025-03-11 17:34:09.517838+00:00,1031.7,power
331.0,2025-03-11 17:34:09.560568+00:00,1031.7,power
332.0,2025-03-11 17:34:09.604906+00:00,1031.7,power
333.0,2025-03-11 17:34:09.622938+00:00,62.0,ef_speed
334.0,2025-03-11 17:34:09.651637+00:00,796.9,power
335.0,2025-03-11 17:34:09.668593+00:00,62.0,sf_speed
336.0,2025-03-11 17:34:09.702117+00:00,796.9,power
337.0,2025-03-11 17:34:09.747719+00:00,796.9,power
338.0,2025-03-11 17:34:09.790423+00:00,796.9,power
339.0,2025-03-11 17:34:09.833435+00:00,953.6,power
340.0,2025-03-11 17:34:09.875832+00:00,953.6,power
341.0,2025-03-11 17:34:09.920716+00:00,953.6,power
342.0,2025-03-11 17:34:09.962756+00:00,953.6,power
343.0,2025-03-11 17:34:10.007759+00:00,953.6,power
344.0,2025-03-11 17:34:10.049823+00:00,953.6,power
345.0,2025-03-11 17:34:10.094485+00:00,953.6,power
346.0,2025-03-11 17:34:10.136351+00:00,970.3,power
347.0,2025-03-11 17:34:10.181133+00:00,970.3,power
348.0,2025-03-11 17:34:10.223149+00:00,970.3,power
349.0,2025-03-11 17:34:10.267983+00:00,970.3,power
350.0,2025-03-11 17:34:10.310223+00:00,970.3,power
351.0,2025-03-11 17:34:10.354297+00:00,951.4,power
352.0,2025-03-11 17:34:10.398989+00:00,951.4,power
353.0,2025-03-11 17:34:10.441160+00:00,951.4,power
354.0,2025-03-11 17:34:10.485379+00:00,951.4,power
355.0,2025-03-11 17:34:10.522051+00:00,61.0,ef_speed
356.0,2025-03-11 17:34:10.528177+00:00,951.4,power
357.0,2025-03-11 17:34:10.569513+00:00,61.0,sf_speed
358.0,2025-03-11 17:34:10.575325+00:00,951.4,power
359.0,2025-03-11 17:34:10.624884+00:00,961.7,power
360.0,2025-03-11 17:34:10.669863+00:00,961.7,power
361.0,2025-03-11 17:34:11.123106+00:00,60.0,ef_speed
362.0,2025-03-11 17:34:11.164394+00:00,60.0,sf_speed
363.0,2025-03-11 17:34:11.724223+00:00,59.0,ef_speed
364.0,2025-03-11 17:34:11.765419+00:00,59.0,sf_speed
365.0,2025-03-11 17:34:12.524726+00:00,58.0,ef_speed
366.0,2025-03-11 17:34:12.566263+00:00,58.0,sf_speed
